,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0154068433331917,0.0,0.7222637953368811,0.7222637953368811,PySRFunction(X=>0.7222637953368811)
1,3,0.0136175361978854,0.06172669726985901,x4 ^ 0.2868334385583795,x4**0.2868334385583795,PySRFunction(X=>x4**0.2868334385583795)
2,4,0.0117535599731433,0.14720221732111347,log(x3 + 1.8276133587663979),log(x3 + 1.8276133587663979),PySRFunction(X=>log(x3 + 1.8276133587663979))
3,5,0.0035502744261107,1.197131267510437,0.5378743162572466 ^ (x1 ^ x3),0.5378743162572466**(x1**x3),PySRFunction(X=>0.5378743162572466**(x1**x3))
4,7,0.0021909148800124,0.2413528468026535,0.4324608708038421 ^ (x1 ^ (x3 ^ 0.6975431302683684)),0.4324608708038421**(x1**(x3**0.6975431302683684)),PySRFunction(X=>0.4324608708038421**(x1**(x3**0.6975431302683684)))
5,9,0.0020979451211612,0.02168042904227056,0.4539011612607023 ^ ((1.2393000389913433 * x1) ^ (x3 ^ 0.6968012193168086)),0.4539011612607023**((1.2393000389913433*x1)**(x3**0.6968012193168086)),PySRFunction(X=>0.4539011612607023**((1.2393000389913433*x1)**(x3**0.6968012193168086)))
6,10,0.0019571763596516,0.06945555023710402,exp(-0.49300448615002923 - x4) ^ ((x1 ^ 1.5242007530376918) ^ x3),(0.61078852897076092*exp(-x4))**((x1**1.5242007530376918)**x3),PySRFunction(X=>(0.61078852897076092*exp(-x4))**((x1**1.5242007530376918)**x3))
