,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0155262940913921,0.0,0.7248670135147922,0.7248670135147922,PySRFunction(X=>0.7248670135147922)
1,2,0.0155262924429917,1.0616831544610601e-07,log(2.0643862381622284),0.72483296100506735,PySRFunction(X=>0.72483296100506735)
2,3,0.0131268375938711,0.16787606767084318,x4 ^ 0.28687287626801244,x4**0.28687287626801244,PySRFunction(X=>x4**0.28687287626801244)
3,4,0.0098350985854223,0.2887013301017079,log(1.8307369331367978 + x3),log(x3 + 1.8307369331367978),PySRFunction(X=>log(x3 + 1.8307369331367978))
4,5,0.0035368981090736,1.0227073730799856,0.5348051907834456 ^ (x1 ^ x3),0.5348051907834456**(x1**x3),PySRFunction(X=>0.5348051907834456**(x1**x3))
5,7,0.0022170212563632,0.23354279208239337,0.42212289825620875 ^ (x1 ^ (x3 ^ 0.6920393491362089)),0.42212289825620875**(x1**(x3**0.6920393491362089)),PySRFunction(X=>0.42212289825620875**(x1**(x3**0.6920393491362089)))
6,9,0.0022084926234263,0.0019271532587584077,0.41974419580807015 ^ ((x1 ^ 1.0575256269178954) ^ (x3 ^ 0.7122952845878665)),0.41974419580807015**((x1**1.0575256269178954)**(x3**0.7122952845878665)),PySRFunction(X=>0.41974419580807015**((x1**1.0575256269178954)**(x3**0.7122952845878665)))
7,10,0.0022018405789556,0.0030165745805417555,log(1.5171228183425953) ^ ((x1 ^ 1.0521377535067449) ^ (x3 ^ 0.7137133250989551)),0.41681565842248962**((x1**1.0521377535067449)**(x3**0.7137133250989551)),PySRFunction(X=>0.41681565842248962**((x1**1.0521377535067449)**(x3**0.7137133250989551)))
