,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0121107267687754,0.0,0.730598652609393,0.730598652609393,PySRFunction(X=>0.730598652609393)
1,2,0.0121107267373501,2.594831908267306e-09,log(2.076312616974747),0.7305935401780193,PySRFunction(X=>0.7305935401780193)
2,3,0.0107362281320002,0.12046773784784091,x4 ^ 0.2823679308044209,x4**0.2823679308044209,PySRFunction(X=>x4**0.2823679308044209)
3,4,0.0082303143627404,0.26579961812513775,log(1.8347061268721077 + x3),log(x3 + 1.8347061268721077),PySRFunction(X=>log(x3 + 1.8347061268721077))
4,5,0.0028090376402413,1.0749822632286556,0.5453766673479189 ^ (x1 ^ x3),0.5453766673479189**(x1**x3),PySRFunction(X=>0.5453766673479189**(x1**x3))
5,7,0.0019733007242235,0.17656715635005252,0.45296879508544985 ^ (x1 ^ (x3 ^ 0.7262609520815624)),0.45296879508544985**(x1**(x3**0.7262609520815624)),PySRFunction(X=>0.45296879508544985**(x1**(x3**0.7262609520815624)))
6,9,0.0018435111287012,0.03401782990320584,0.4407983176700482 ^ ((x1 - -0.017166579913378197) ^ (x3 ^ 0.6196818129652357)),0.4407983176700482**((x1 + 0.017166579913378197)**(x3**0.6196818129652357)),PySRFunction(X=>0.4407983176700482**((x1 + 0.017166579913378197)**(x3**0.6196818129652357)))
