,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0160939752879947,0.0,0.7653562623309135,0.7653562623309135,PySRFunction(X=>0.7653562623309135)
1,2,0.0160939752688316,1.1907003168315562e-09,log(2.14978163748086),0.765366273019212,PySRFunction(X=>0.765366273019212)
2,3,0.0149643380690769,0.07277508666232832,x4 ^ 0.23723412207148917,x4**0.23723412207148917,PySRFunction(X=>x4**0.23723412207148917)
3,4,0.0123009598023654,0.19599261634373155,log(2.229450836359616 - x1),log(2.229450836359616 - x1),PySRFunction(X=>log(2.229450836359616 - x1))
4,5,0.0054963388541383,0.8055950843440391,0.5894123437680128 ^ (x1 ^ x3),0.5894123437680128**(x1**x3),PySRFunction(X=>0.5894123437680128**(x1**x3))
5,7,0.0030473717091777,0.29490136164293707,0.43438826146961784 ^ (x1 ^ (x3 ^ 0.5917238439465798)),0.43438826146961784**(x1**(x3**0.5917238439465798)),PySRFunction(X=>0.43438826146961784**(x1**(x3**0.5917238439465798)))
6,8,0.0030473671868691,1.4840040491047054e-06,log(1.543425477885388) ^ (x1 ^ (x3 ^ 0.5917238439465798)),0.4340042825411068**(x1**(x3**0.5917238439465798)),PySRFunction(X=>0.4340042825411068**(x1**(x3**0.5917238439465798)))
7,9,0.0029457730609341,0.03390671828777203,0.5880601586544432 ^ ((0.2152706087198308 * x1) ^ (x3 - x1)),0.5880601586544432**((0.2152706087198308*x1)**(-x1 + x3)),PySRFunction(X=>0.5880601586544432**((0.2152706087198308*x1)**(-x1 + x3)))
8,10,0.0028526842550816,0.032110887212695796,exp(-0.6284944821467858 - x1) ^ (x1 ^ (x3 ^ 0.7023542520934579)),(0.5333942313568328*exp(-x1))**(x1**(x3**0.7023542520934579)),PySRFunction(X=>(0.5333942313568328*exp(-x1))**(x1**(x3**0.7023542520934579)))
