,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0060726861944797,0.0,0.722466221312079,0.722466221312079,PySRFunction(X=>0.722466221312079)
1,2,0.0060726858984031,4.8755459747860476e-08,exp(-0.3251190716611497),0.7224413262316629,PySRFunction(X=>0.7224413262316629)
2,4,0.0036049412309719,0.2607477630340062,log(x3 + 1.8228783146441627),log(x3 + 1.8228783146441627),PySRFunction(X=>log(x3 + 1.8228783146441627))
3,5,0.0010556249404625,1.2281725163361044,0.5470325709405507 ^ (x1 ^ x3),0.5470325709405507**(x1**x3),PySRFunction(X=>0.5470325709405507**(x1**x3))
4,7,0.0006878699439445,0.21414422303111647,(0.6403631010052456 ^ (x1 ^ x3)) + -0.06705482915919043,0.6403631010052456**(x1**x3) - 0.06705482915919043,PySRFunction(X=>0.6403631010052456**(x1**x3) - 0.06705482915919043)
5,9,0.0005939883347259,0.07337005221918606,(0.613895332545753 ^ (x1 ^ x3)) + (x0 * -0.0732224626800875),0.613895332545753**(x1**x3) - 0.0732224626800875*x0,PySRFunction(X=>0.613895332545753**(x1**x3) - 0.0732224626800875*x0)
6,10,0.0005751173612613,0.03228555414938551,exp(-0.5029245791708229) ^ ((x1 ^ x3) - (-0.17660148029569525 * x0)),0.6047594041298505**(0.17660148029569525*x0 + x1**x3),PySRFunction(X=>0.6047594041298505**(0.17660148029569525*x0 + x1**x3))
