,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0155262924046717,0.0,0.7248221506598128,0.7248221506598128,PySRFunction(X=>0.7248221506598128)
1,3,0.0128719449422743,0.09374236933819499,x2 ^ 0.1303974947447747,x2**0.1303974947447747,PySRFunction(X=>x2**0.1303974947447747)
2,4,0.0098350997582809,0.26909253737574873,log(1.830785056946727 + x3),log(x3 + 1.830785056946727),PySRFunction(X=>log(x3 + 1.830785056946727))
3,5,0.0035368981741034,1.0227074739462163,0.5348207452120203 ^ (x1 ^ x3),0.5348207452120203**(x1**x3),PySRFunction(X=>0.5348207452120203**(x1**x3))
4,7,0.0022170346263511,0.23353978598014027,0.4226851247528373 ^ (x1 ^ (x3 ^ 0.6928336030790768)),0.4226851247528373**(x1**(x3**0.6928336030790768)),PySRFunction(X=>0.4226851247528373**(x1**(x3**0.6928336030790768)))
5,8,0.0022170226507595,5.401640462202694e-06,exp(-0.8615827048251234) ^ (x1 ^ (x3 ^ 0.6926874980408382)),0.4224928713696488**(x1**(x3**0.6926874980408382)),PySRFunction(X=>0.4224928713696488**(x1**(x3**0.6926874980408382)))
6,9,0.002201304967475,0.007114795889025393,0.41912629657677836 ^ ((x1 ^ 1.0534657668071248) ^ (x3 ^ 0.7171703444239592)),0.41912629657677836**((x1**1.0534657668071248)**(x3**0.7171703444239592)),PySRFunction(X=>0.41912629657677836**((x1**1.0534657668071248)**(x3**0.7171703444239592)))
