,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0136298264296975,0.0,0.7257794865855941,0.7257794865855941,PySRFunction(X=>0.7257794865855941)
1,3,0.0117810614236594,0.0728836165777162,x4 ^ 0.28585127598493904,x4**0.28585127598493904,PySRFunction(X=>x4**0.28585127598493904)
2,4,0.0095272280615511,0.21233946715873112,log(x3 + 1.8323325149546257),log(x3 + 1.8323325149546257),PySRFunction(X=>log(x3 + 1.8323325149546257))
3,5,0.002843251277423,1.2092055975166063,0.5415435743961574 ^ (x1 ^ x3),0.5415435743961574**(x1**x3),PySRFunction(X=>0.5415435743961574**(x1**x3))
4,7,0.0018241351090629,0.22192112575248882,0.44208288984495697 ^ (x1 ^ (x3 ^ 0.7158129880051709)),0.44208288984495697**(x1**(x3**0.7158129880051709)),PySRFunction(X=>0.44208288984495697**(x1**(x3**0.7158129880051709)))
5,9,0.0016980644395024,0.03580846222698859,0.4319576444792706 ^ ((x1 + 0.013851327723576968) ^ (x3 ^ 0.6274209260850614)),0.4319576444792706**((x1 + 0.013851327723576968)**(x3**0.6274209260850614)),PySRFunction(X=>0.4319576444792706**((x1 + 0.013851327723576968)**(x3**0.6274209260850614)))
