,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0136298263888063,0.0,0.7257750594290953,0.7257750594290953,PySRFunction(X=>0.7257750594290953)
1,3,0.0117810563153315,0.07288383188023245,x4 ^ 0.2857877509784102,x4**0.2857877509784102,PySRFunction(X=>x4**0.2857877509784102)
2,4,0.0095272280442831,0.21233903536606186,log(x3 + 1.8323354263104525),log(x3 + 1.8323354263104525),PySRFunction(X=>log(x3 + 1.8323354263104525))
3,5,0.0028432513014297,1.2092055872607197,0.5415381238258448 ^ (x1 ^ x3),0.5415381238258448**(x1**x3),PySRFunction(X=>0.5415381238258448**(x1**x3))
4,6,0.00284325128532,5.665943064123564e-09,exp(-0.613321148607263) ^ (x1 ^ x3),0.541549313365469**(x1**x3),PySRFunction(X=>0.541549313365469**(x1**x3))
5,7,0.0018241498418302,0.4438341777382483,0.44260834619113804 ^ (x1 ^ (x3 ^ 0.7169050679548379)),0.44260834619113804**(x1**(x3**0.7169050679548379)),PySRFunction(X=>0.44260834619113804**(x1**(x3**0.7169050679548379)))
6,9,0.0016981507934234,0.03578707398306292,0.4306091240878674 ^ ((0.013353164648821325 + x1) ^ (x3 ^ 0.6284523243274465)),0.4306091240878674**((x1 + 0.013353164648821325)**(x3**0.6284523243274465)),PySRFunction(X=>0.4306091240878674**((x1 + 0.013353164648821325)**(x3**0.6284523243274465)))
7,10,0.0016979088873835,0.00014246277335832515,exp(-0.8420431707288956) ^ ((0.013353164648821325 + x1) ^ (x3 ^ 0.6277251194223278)),0.4308293656087224**((x1 + 0.013353164648821325)**(x3**0.6277251194223278)),PySRFunction(X=>0.4308293656087224**((x1 + 0.013353164648821325)**(x3**0.6277251194223278)))
