,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0133323931951083,0.0,0.7556578704303275,0.7556578704303275,PySRFunction(X=>0.7556578704303275)
1,2,0.0133323924324238,5.720537274298835e-08,log(2.128950638845744),0.7556292005066983,PySRFunction(X=>0.7556292005066983)
2,3,0.0106901648763535,0.2208724470501788,x4 ^ 0.2478518285338059,x4**0.2478518285338059,PySRFunction(X=>x4**0.2478518285338059)
3,4,0.0092118307000694,0.14883554474267816,log(1.8905787117269535 + x3),log(x3 + 1.8905787117269535),PySRFunction(X=>log(x3 + 1.8905787117269535))
4,5,0.0027601774621061,1.205193628068178,0.5819043408164061 ^ (x1 ^ x3),0.5819043408164061**(x1**x3),PySRFunction(X=>0.5819043408164061**(x1**x3))
5,7,0.0016048620924568,0.2711285731695853,0.4820549192317331 ^ (x1 ^ (x3 ^ 0.6982401229529939)),0.4820549192317331**(x1**(x3**0.6982401229529939)),PySRFunction(X=>0.4820549192317331**(x1**(x3**0.6982401229529939)))
6,8,0.0016048372026226,1.550913771800807e-05,exp(-0.7296583447060148) ^ (x1 ^ (x3 ^ 0.6987794969225065)),0.4820736649773074**(x1**(x3**0.6987794969225065)),PySRFunction(X=>0.4820736649773074**(x1**(x3**0.6987794969225065)))
7,9,0.0015307427284333,0.047269259014416865,0.4733634187963817 ^ ((x1 ^ 1.140281583119398) ^ (x3 ^ 0.7567579728325409)),0.4733634187963817**((x1**1.140281583119398)**(x3**0.7567579728325409)),PySRFunction(X=>0.4733634187963817**((x1**1.140281583119398)**(x3**0.7567579728325409)))
