,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0155262924403376,0.0,0.7248187932418242,0.7248187932418242,PySRFunction(X=>0.7248187932418242)
1,3,0.012871946252173,0.0937423196048362,x2 ^ 0.1303870184947504,x2**0.1303870184947504,PySRFunction(X=>x2**0.1303870184947504)
2,4,0.0098350985288895,0.26909276414000277,log(x3 + 1.8306870054294586),log(x3 + 1.8306870054294586),PySRFunction(X=>log(x3 + 1.8306870054294586))
3,5,0.0035368981064367,1.0227073680774597,0.5348118857071595 ^ (x1 ^ x3),0.5348118857071595**(x1**x3),PySRFunction(X=>0.5348118857071595**(x1**x3))
4,6,0.0035368981020037,1.2533580847711983e-09,exp(-0.6258466173193992) ^ (x1 ^ x3),0.5348084586963042**(x1**x3),PySRFunction(X=>0.5348084586963042**(x1**x3))
5,7,0.0022170192944672,0.4670864670905874,0.4222427552713356 ^ (x1 ^ (x3 ^ 0.6921720926154735)),0.4222427552713356**(x1**(x3**0.6921720926154735)),PySRFunction(X=>0.4222427552713356**(x1**(x3**0.6921720926154735)))
6,9,0.0022014337900186,0.003527381368771646,0.41759832859722373 ^ ((x1 ^ 1.0627482247395512) ^ (x3 ^ 0.7201052843031563)),0.41759832859722373**((x1**1.0627482247395512)**(x3**0.7201052843031563)),PySRFunction(X=>0.41759832859722373**((x1**1.0627482247395512)**(x3**0.7201052843031563)))
7,10,0.0022013340020034,4.532967439150639e-05,exp(-0.8719238445466116) ^ ((x1 ^ 1.0625067639312817) ^ (x3 ^ 0.7201052843031563)),0.4181463264044683**((x1**1.0625067639312817)**(x3**0.7201052843031563)),PySRFunction(X=>0.4181463264044683**((x1**1.0625067639312817)**(x3**0.7201052843031563)))
