,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.439925655285961e-05,0.0,0.9029851572122425,0.9029851572122425,PySRFunction(X=>0.9029851572122425)
1,2,1.439925641999173e-05,9.227412543328886e-09,exp(-0.10204970516349883),0.90298466755286225,PySRFunction(X=>0.90298466755286225)
2,4,1.439925641162397e-05,2.9056224101880417e-10,0.9518077412729552 ^ exp(0.7256653074408606),0.9029848362675979,PySRFunction(X=>0.9029848362675979)
3,5,9.5081638267541e-06,0.41502578740582496,0.9035932475923242 ^ (1.5021599777807204 ^ x0),0.9035932475923242**(1.5021599777807204**x0),PySRFunction(X=>0.9035932475923242**(1.5021599777807204**x0))
4,6,9.5081067266065e-06,6.005399159645438e-06,0.9035932475923242 ^ (exp(x0) ^ 0.4062589317001597),0.9035932475923242**(exp(x0)**0.4062589317001597),PySRFunction(X=>0.9035932475923242**(exp(x0)**0.4062589317001597))
5,7,9.173520225755228e-06,0.03582367672535824,0.9035442109225639 ^ ((1.6055449978558567 - x2) ^ x0),0.9035442109225639**((1.6055449978558567 - x2)**x0),PySRFunction(X=>0.9035442109225639**((1.6055449978558567 - x2)**x0))
6,9,9.163474511920112e-06,0.0005478386717030663,0.9035876646746651 ^ ((1.67188512986848 - x2) ^ (x0 ^ 1.0375209252844007)),0.9035876646746651**((1.67188512986848 - x2)**(x0**1.0375209252844007)),PySRFunction(X=>0.9035876646746651**((1.67188512986848 - x2)**(x0**1.0375209252844007)))
7,10,8.83142798553463e-06,0.036908698986512264,exp(-0.10320128758598042) ^ ((0.9443296551962053 + x0) ^ (0.6001650168275489 - x1)),0.90194540479515088**((x0 + 0.9443296551962053)**(0.6001650168275489 - x1)),PySRFunction(X=>0.90194540479515088**((x0 + 0.9443296551962053)**(0.6001650168275489 - x1)))
