,complexity,loss,score,equation,sympy_format,lambda_format
0,1,2.137617074863315e-05,0.0,0.8846132370812219,0.8846132370812219,PySRFunction(X=>0.8846132370812219)
1,5,1.5485720021561892e-05,0.08058961871063779,0.8889754866549952 ^ (1.172318201153612 ^ x1),0.8889754866549952**(1.172318201153612**x1),PySRFunction(X=>0.8889754866549952**(1.172318201153612**x1))
2,6,1.529541156237652e-05,0.012365424810088132,(-0.013106765909055662 * exp(x1)) + 0.9017325688955163,0.9017325688955163 - 0.013106765909055662*exp(x1),PySRFunction(X=>0.9017325688955163 - 0.013106765909055662*exp(x1))
3,7,1.3611262519003264e-05,0.11665530910430842,0.88980367162818 ^ (1.1966350154714749 ^ (x1 + x0)),0.88980367162818**(1.1966350154714749**(x0 + x1)),PySRFunction(X=>0.88980367162818**(1.1966350154714749**(x0 + x1)))
4,9,1.338419124717566e-05,0.008411661805165957,0.8896235993619283 ^ ((1.187741673674557 ^ x1) + (x0 * 0.3061215183827479)),0.8896235993619283**(1.187741673674557**x1 + 0.3061215183827479*x0),PySRFunction(X=>0.8896235993619283**(1.187741673674557**x1 + 0.3061215183827479*x0))
