,complexity,loss,score,equation,sympy_format,lambda_format
0,1,8.986724548583889e-06,0.0,0.9336284226737918,0.9336284226737918,PySRFunction(X=>0.9336284226737918)
1,5,7.002163031280058e-06,0.06238233310739228,0.9340200588836046 ^ (1.6741414164467758 ^ x0),0.9340200588836046**(1.6741414164467758**x0),PySRFunction(X=>0.9340200588836046**(1.6741414164467758**x0))
2,6,6.935128380617107e-06,0.009619540211231428,0.9575431221699262 ^ (1.5730887716664474 ^ exp(x0)),0.9575431221699262**(1.5730887716664474**exp(x0)),PySRFunction(X=>0.9575431221699262**(1.5730887716664474**exp(x0)))
3,7,6.912438050002119e-06,0.0032771607973293435,0.9339781715784754 ^ ((x0 + 1.3659480318932469) ^ x0),0.9339781715784754**((x0 + 1.3659480318932469)**x0),PySRFunction(X=>0.9339781715784754**((x0 + 1.3659480318932469)**x0))
4,8,6.877453635140648e-06,0.005073932517493047,0.9338758103783219 ^ (exp(x0) ^ (x1 + x0)),0.9338758103783219**(exp(x0)**(x0 + x1)),PySRFunction(X=>0.9338758103783219**(exp(x0)**(x0 + x1)))
5,9,6.203272178114156e-06,0.10317154877312561,0.9354391518233693 ^ ((x0 + 1.0979051498976105) ^ (x1 + x0)),0.9354391518233693**((x0 + 1.0979051498976105)**(x0 + x1)),PySRFunction(X=>0.9354391518233693**((x0 + 1.0979051498976105)**(x0 + x1)))
