,complexity,loss,score,equation,sympy_format,lambda_format
0,1,2.086607880801897e-05,0.0,0.9292320481035857,0.9292320481035857,PySRFunction(X=>0.9292320481035857)
1,2,2.086607865007258e-05,7.569529032252632e-09,exp(-0.07339651616980812),0.9292323013338416,PySRFunction(X=>0.9292323013338416)
2,3,2.08660786263434e-05,1.1372132131342358e-09,0.9236887534280455 ^ 0.9246170751464519,0.9292325894782634,PySRFunction(X=>0.9292325894782634)
3,5,1.6375865242208886e-05,0.12115809442522808,0.932839910319383 ^ (1.2408367022751874 ^ x2),0.932839910319383**(1.2408367022751874**x2),PySRFunction(X=>0.932839910319383**(1.2408367022751874**x2))
4,6,1.616402395079549e-05,0.013020590392192331,0.9420907661573454 ^ (1.171837264866307 ^ exp(x2)),0.9420907661573454**(1.171837264866307**exp(x2)),PySRFunction(X=>0.9420907661573454**(1.171837264866307**exp(x2)))
5,7,1.4279222992761592e-05,0.12398248579260439,0.9338592814098733 ^ (1.2817541155160597 ^ (x1 + x0)),0.9338592814098733**(1.2817541155160597**(x0 + x1)),PySRFunction(X=>0.9338592814098733**(1.2817541155160597**(x0 + x1)))
6,8,1.4278316137543631e-05,6.351073978241798e-05,0.9336450873376141 ^ (exp(0.25004615026936255) ^ (x1 + x0)),0.9336450873376141**(1.2840846761740001**(x0 + x1)),PySRFunction(X=>0.9336450873376141**(1.2840846761740001**(x0 + x1)))
7,9,1.334842224234961e-05,0.06734383865135132,0.9329854649737237 ^ ((1.20612433435133 + x0) ^ (x1 + x4)),0.9329854649737237**((x0 + 1.20612433435133)**(x1 + x4)),PySRFunction(X=>0.9329854649737237**((x0 + 1.20612433435133)**(x1 + x4)))
