,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.9680436139841274e-05,0.0,0.9155558310959482,0.9155558310959482,PySRFunction(X=>0.9155558310959482)
1,5,1.5733176123284844e-05,0.055963360311616174,0.9191309797850752 ^ (1.1958163909767534 ^ x1),0.9191309797850752**(1.1958163909767534**x1),PySRFunction(X=>0.9191309797850752**(1.1958163909767534**x1))
2,6,1.5569120437839202e-05,0.010482118285137558,0.928111963795695 ^ (1.1373847913774706 ^ exp(x1)),0.928111963795695**(1.1373847913774706**exp(x1)),PySRFunction(X=>0.928111963795695**(1.1373847913774706**exp(x1)))
3,7,1.3696220786481314e-05,0.12816955364651583,0.9200329530629566 ^ (1.236402698156744 ^ (x0 + x1)),0.9200329530629566**(1.236402698156744**(x0 + x1)),PySRFunction(X=>0.9200329530629566**(1.236402698156744**(x0 + x1)))
4,8,1.3695294388515998e-05,6.764123559802729e-05,0.9199927860050328 ^ (exp(0.2107491004723495) ^ (x1 + x0)),0.9199927860050328**(1.234602555000789**(x0 + x1)),PySRFunction(X=>0.9199927860050328**(1.234602555000789**(x0 + x1)))
5,9,1.2869530365327202e-05,0.062189768250459465,((x0 * -0.03435332621280757) + 0.9197075261240484) ^ (1.1958163909767534 ^ x1),(0.9197075261240484 - 0.03435332621280757*x0)**(1.1958163909767534**x1),PySRFunction(X=>(0.9197075261240484 - 0.03435332621280757*x0)**(1.1958163909767534**x1))
6,10,1.2839860961215636e-05,0.002308060654242965,(0.9197075261240484 + (-0.03352343467205601 * x0)) ^ (exp(0.18659366490212442) ^ x1),(0.9197075261240484 - 0.03352343467205601*x0)**(1.2051374958850557**x1),PySRFunction(X=>(0.9197075261240484 - 0.03352343467205601*x0)**(1.2051374958850557**x1))
