,complexity,loss,score,equation,sympy_format,lambda_format
0,1,2.6317106906631905e-05,0.0,0.914745030226186,0.914745030226186,PySRFunction(X=>0.914745030226186)
1,3,2.631710686434084e-05,8.034899974046509e-10,0.9416889361235746 ^ 1.4831843706625933,0.91474483137622382,PySRFunction(X=>0.91474483137622382)
2,5,1.979614037202349e-05,0.1423660954272776,0.9503391876299153 ^ (1.732534319203234 + x0),0.9503391876299153**(x0 + 1.732534319203234),PySRFunction(X=>0.9503391876299153**(x0 + 1.732534319203234))
3,8,1.979579097145104e-05,5.883363278026864e-06,0.960757646037616 ^ (exp(0.7904023407458627) + (x0 / 0.7914465320933048)),0.960757646037616**(1.263509232083044*x0 + 2.204283120782215),PySRFunction(X=>0.960757646037616**(1.263509232083044*x0 + 2.204283120782215))
4,9,1.6904103297776385e-05,0.1579129467601212,0.9462640914792246 ^ ((0.23303393700649425 * x1) + (x0 + 1.5393005503879122)),0.9462640914792246**(x0 + 0.23303393700649425*x1 + 1.5393005503879122),PySRFunction(X=>0.9462640914792246**(x0 + 0.23303393700649425*x1 + 1.5393005503879122))
