,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.8988475984121192e-05,0.0,0.9173534261062741,0.9173534261062741,PySRFunction(X=>0.9173534261062741)
1,5,1.302163352890893e-05,0.09430504401062205,0.9179973532390688 ^ (1.547908264957063 ^ x0),0.9179973532390688**(1.547908264957063**x0),PySRFunction(X=>0.9179973532390688**(1.547908264957063**x0))
2,7,1.2656005831726754e-05,0.014240110073864987,0.9179973532390688 * ((0.9624102408635661 - x4) ^ x0),0.9179973532390688*(0.9624102408635661 - x4)**x0,PySRFunction(X=>0.9179973532390688*(0.9624102408635661 - x4)**x0)
3,9,1.1343125975662993e-05,0.05475997613529093,0.9258681471530428 ^ ((x0 + 1.147447035514671) ^ (0.5141233130099746 + x1)),0.9258681471530428**((x0 + 1.147447035514671)**(x1 + 0.5141233130099746)),PySRFunction(X=>0.9258681471530428**((x0 + 1.147447035514671)**(x1 + 0.5141233130099746)))
