,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.09870967322165e-05,0.0,0.9409960608463734,0.9409960608463734,PySRFunction(X=>0.9409960608463734)
1,5,8.995031966415383e-06,0.050012284682104835,0.9413984828137014 ^ (1.6095976533517575 ^ x0),0.9413984828137014**(1.6095976533517575**x0),PySRFunction(X=>0.9413984828137014**(1.6095976533517575**x0))
2,6,8.967443849530803e-06,0.0030717523419311393,0.9595430563177677 ^ (1.4639428598955113 ^ exp(x0)),0.9595430563177677**(1.4639428598955113**exp(x0)),PySRFunction(X=>0.9595430563177677**(1.4639428598955113**exp(x0)))
3,7,8.627369652570839e-06,0.0386610013427989,0.9415094882426271 + (x0 * (-0.032598772862446286 - x4)),x0*(-x4 - 0.032598772862446286) + 0.9415094882426271,PySRFunction(X=>x0*(-x4 - 0.032598772862446286) + 0.9415094882426271)
4,9,7.710092855637942e-06,0.05620471823709656,0.9667642246902349 ^ ((x4 * 0.2926523297109102) + (x0 + 1.778474558373341)),0.9667642246902349**(x0 + 0.2926523297109102*x4 + 1.778474558373341),PySRFunction(X=>0.9667642246902349**(x0 + 0.2926523297109102*x4 + 1.778474558373341))
5,10,7.676347570260912e-06,0.004386373787393502,(0.9601755268455874 ^ (1.1834255622593255 ^ x4)) ^ (1.4808657988063103 ^ exp(x0)),(0.9601755268455874**(1.1834255622593255**x4))**(1.4808657988063103**exp(x0)),PySRFunction(X=>(0.9601755268455874**(1.1834255622593255**x4))**(1.4808657988063103**exp(x0)))
