,complexity,loss,score,equation,sympy_format,lambda_format
0,1,3.866688060177526e-05,0.0,0.9038075036370524,0.9038075036370524,PySRFunction(X=>0.9038075036370524)
1,3,3.866688058237399e-05,2.508770969374859e-10,0.9247525470886514 ^ 1.292856572419523,0.9038073965275445,PySRFunction(X=>0.9038073965275445)
2,5,2.801466515752256e-05,0.1611276530184111,0.9095047886167528 ^ (1.2775932405083386 ^ x1),0.9095047886167528**(1.2775932405083386**x1),PySRFunction(X=>0.9095047886167528**(1.2775932405083386**x1))
3,6,2.738261473235098e-05,0.022819815493751807,0.9230704890499848 ^ (1.195058025218904 ^ exp(x1)),0.9230704890499848**(1.195058025218904**exp(x1)),PySRFunction(X=>0.9230704890499848**(1.195058025218904**exp(x1)))
4,7,2.363049031072792e-05,0.14737047270978865,0.910730441294057 ^ (1.326767600726506 ^ (x1 + x0)),0.910730441294057**(1.326767600726506**(x0 + x1)),PySRFunction(X=>0.910730441294057**(1.326767600726506**(x0 + x1)))
5,8,2.3629686637658204e-05,3.401058234180384e-05,0.910730441294057 ^ (exp(0.28175777551671455) ^ (x1 + x0)),0.910730441294057**(1.325457622811761**(x0 + x1)),PySRFunction(X=>0.910730441294057**(1.325457622811761**(x0 + x1)))
6,9,2.2943558281562923e-05,0.02946661769506704,0.91068243886283 ^ ((1.3108621951805886 ^ x1) / (0.6477341759274722 ^ x0)),0.91068243886283**(1.3108621951805886**x1/0.6477341759274722**x0),PySRFunction(X=>0.91068243886283**(1.3108621951805886**x1/0.6477341759274722**x0))
7,10,2.2425944275146115e-05,0.02281869700486503,(0.9244457828228264 / (1.0357267197142865 ^ x0)) ^ (1.2092563191511987 ^ exp(x1)),(0.9244457828228264/1.0357267197142865**x0)**(1.2092563191511987**exp(x1)),PySRFunction(X=>(0.9244457828228264/1.0357267197142865**x0)**(1.2092563191511987**exp(x1)))
