,complexity,loss,score,equation,sympy_format,lambda_format
0,1,2.006862139256303e-05,0.0,0.9000675508286802,0.9000675508286802,PySRFunction(X=>0.9000675508286802)
1,5,1.7638654782174678e-05,0.032266170583787786,0.9028305396087634 ^ (1.1236818966965831 ^ x1),0.9028305396087634**(1.1236818966965831**x1),PySRFunction(X=>0.9028305396087634**(1.1236818966965831**x1))
2,6,1.7419480990015904e-05,0.012503611090451464,0.9109289502652763 ^ (1.097795340754933 ^ exp(x1)),0.9109289502652763**(1.097795340754933**exp(x1)),PySRFunction(X=>0.9109289502652763**(1.097795340754933**exp(x1)))
3,7,1.6304742935814233e-05,0.06613313392213868,0.9033132210329268 ^ (1.1414243552534562 ^ (x1 + x0)),0.9033132210329268**(1.1414243552534562**(x0 + x1)),PySRFunction(X=>0.9033132210329268**(1.1414243552534562**(x0 + x1)))
4,9,1.5705111644336743e-05,0.018734900669305977,0.9028039936289134 ^ ((1.1007704408665244 + x0) ^ (x1 + x4)),0.9028039936289134**((x0 + 1.1007704408665244)**(x1 + x4)),PySRFunction(X=>0.9028039936289134**((x0 + 1.1007704408665244)**(x1 + x4)))
