,complexity,loss,score,equation,sympy_format,lambda_format
0,1,2.006862139267932e-05,0.0,0.9000675841234625,0.9000675841234625,PySRFunction(X=>0.9000675841234625)
1,5,1.7642917674871776e-05,0.032205758131638576,0.9029889937951261 ^ (1.1303730283851106 ^ x1),0.9029889937951261**(1.1303730283851106**x1),PySRFunction(X=>0.9029889937951261**(1.1303730283851106**x1))
2,6,1.741765774497937e-05,0.0128499333954324,0.9107157637735571 ^ (1.095877048410814 ^ exp(x1)),0.9107157637735571**(1.095877048410814**exp(x1)),PySRFunction(X=>0.9107157637735571**(1.095877048410814**exp(x1)))
3,7,1.6330048454207705e-05,0.06447763040812683,0.903185592325118 ^ (1.1356137142916585 ^ (x1 + x0)),0.903185592325118**(1.1356137142916585**(x0 + x1)),PySRFunction(X=>0.903185592325118**(1.1356137142916585**(x0 + x1)))
4,8,1.630281472820514e-05,0.0016690985509207864,0.9033290997481476 ^ (exp(0.13269264907983383) ^ (x1 + x0)),0.9033290997481476**(1.1418989806884084**(x0 + x1)),PySRFunction(X=>0.9033290997481476**(1.1418989806884084**(x0 + x1)))
5,9,1.5750319593333474e-05,0.034477118910754986,0.9033501051052693 ^ ((1.120157492442359 + x0) ^ (x4 + x1)),0.9033501051052693**((x0 + 1.120157492442359)**(x1 + x4)),PySRFunction(X=>0.9033501051052693**((x0 + 1.120157492442359)**(x1 + x4)))
