,complexity,loss,score,equation,sympy_format,lambda_format
0,1,7.349282028963521e-06,0.0,0.9240880734287202,0.9240880734287202,PySRFunction(X=>0.9240880734287202)
1,2,7.349282015809387e-06,1.7898529341339855e-09,exp(-0.07894800620059302),0.9240879700405882,PySRFunction(X=>0.9240879700405882)
2,4,7.349282015708963e-06,6.832256982438662e-12,0.8782588209764763 + log(1.0468955133551114),0.92408795166246758,PySRFunction(X=>0.92408795166246758)
3,5,5.049524254187712e-06,0.3753085917577455,(x0 * -0.02835956696065669) + 0.9245224191284706,0.9245224191284706 - 0.02835956696065669*x0,PySRFunction(X=>0.9245224191284706 - 0.02835956696065669*x0)
4,6,5.047630261627948e-06,0.00037515372851037716,0.9245828156837843 ^ (exp(0.37424368297786104) ^ x0),0.9245828156837843**(1.4538913958781441**x0),PySRFunction(X=>0.9245828156837843**(1.4538913958781441**x0))
5,7,4.9733085915635054e-06,0.014833546821013323,((-0.028135536242104214 - x4) * x0) + 0.9245828156837843,x0*(-x4 - 0.028135536242104214) + 0.9245828156837843,PySRFunction(X=>x0*(-x4 - 0.028135536242104214) + 0.9245828156837843)
