,complexity,loss,score,equation,sympy_format,lambda_format
0,1,3.126108048040824e-05,0.0,0.9066927197695289,0.9066927197695289,PySRFunction(X=>0.9066927197695289)
1,4,3.126108033017497e-05,1.6019201929400369e-09,0.8299171824056023 ^ exp(-0.643575038008294),0.9066924401037876,PySRFunction(X=>0.9066924401037876)
2,5,2.5955869822573016e-05,0.18597610246794133,0.9108310041488151 ^ (1.2095806208951105 ^ x1),0.9108310041488151**(1.2095806208951105**x1),PySRFunction(X=>0.9108310041488151**(1.2095806208951105**x1))
3,6,2.5771581603915345e-05,0.0071253848115318385,(exp(x1) * -0.010858353359465264) + 0.9206631140390938,0.9206631140390938 - 0.010858353359465264*exp(x1),PySRFunction(X=>0.9206631140390938 - 0.010858353359465264*exp(x1))
4,7,2.266370333991485e-05,0.1285077236655735,0.9112056899405689 ^ (1.210263343112448 ^ (x1 + x4)),0.9112056899405689**(1.210263343112448**(x1 + x4)),PySRFunction(X=>0.9112056899405689**(1.210263343112448**(x1 + x4)))
5,8,2.2661289516518583e-05,0.00010651180491934462,0.9111970226684407 ^ (exp(0.18905388770819767) ^ (x4 + x1)),0.9111970226684407**(1.2081060527952776**(x1 + x4)),PySRFunction(X=>0.9111970226684407**(1.2081060527952776**(x1 + x4)))
6,9,2.130992247728674e-05,0.06148535290493593,0.9112847655897314 ^ ((1.2042409000666072 + x0) ^ (x4 + x1)),0.9112847655897314**((x0 + 1.2042409000666072)**(x1 + x4)),PySRFunction(X=>0.9112847655897314**((x0 + 1.2042409000666072)**(x1 + x4)))
