,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.342067024203753e-05,0.0,0.8913093828596177,0.8913093828596177,PySRFunction(X=>0.8913093828596177)
1,2,1.342067003765946e-05,1.522860382734764e-08,exp(-0.11506296918545977),0.89131001707395216,PySRFunction(X=>0.89131001707395216)
2,4,1.3420670014598704e-05,8.591506957698695e-10,0.8664804793087839 ^ exp(-0.21956916704448454),0.89130989671770406,PySRFunction(X=>0.89130989671770406)
3,5,9.88193228485046e-06,0.30608798884230376,0.8919226553301359 - (x0 * 0.04564079548845797),0.8919226553301359 - 0.04564079548845797*x0,PySRFunction(X=>0.8919226553301359 - 0.04564079548845797*x0)
4,7,9.205379446823296e-06,0.03546001618745906,0.8943609968165153 ^ ((x0 + 1.1066852907961553) ^ x1),0.8943609968165153**((x0 + 1.1066852907961553)**x1),PySRFunction(X=>0.8943609968165153**((x0 + 1.1066852907961553)**x1))
5,8,8.899144735652751e-06,0.0338328606494057,0.8941292041566605 ^ (exp(x1) ^ (x0 + 0.09775051812568401)),0.8941292041566605**(exp(x1)**(x0 + 0.09775051812568401)),PySRFunction(X=>0.8941292041566605**(exp(x1)**(x0 + 0.09775051812568401)))
6,9,7.250515898088676e-06,0.20488255031079544,(0.8944824866125051 / (1.0538553454885886 ^ x0)) ^ (1.1080385207793806 ^ x1),(0.8944824866125051/1.0538553454885886**x0)**(1.1080385207793806**x1),PySRFunction(X=>(0.8944824866125051/1.0538553454885886**x0)**(1.1080385207793806**x1))
7,10,7.227356238953593e-06,0.003199320821510139,(0.8947824002829345 + (-0.04925512813493674 * x0)) ^ (exp(x1) ^ 0.11045698846154532),(0.8947824002829345 - 0.04925512813493674*x0)**(exp(x1)**0.11045698846154532),PySRFunction(X=>(0.8947824002829345 - 0.04925512813493674*x0)**(exp(x1)**0.11045698846154532))
