,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.0987096821715916e-05,0.0,0.9409962699282914,0.9409962699282914,PySRFunction(X=>0.9409962699282914)
1,2,1.098709672676276e-05,8.64224262557461e-09,exp(-0.06081635599337062),0.9409960321909523,PySRFunction(X=>0.9409960321909523)
2,5,8.995124931073798e-06,0.06667960105797957,0.9413977162064701 ^ (1.6072109593770365 ^ x0),0.9413977162064701**(1.6072109593770365**x0),PySRFunction(X=>0.9413977162064701**(1.6072109593770365**x0))
3,6,8.977871194656553e-06,0.0019199627704461011,(exp(x0) * -0.023808353345406874) + 0.9651473076287026,0.9651473076287026 - 0.023808353345406874*exp(x0),PySRFunction(X=>0.9651473076287026 - 0.023808353345406874*exp(x0))
4,7,8.947144464425454e-06,0.0034283663581156534,0.9413977162064701 ^ ((x1 + 1.3841441215897425) ^ x0),0.9413977162064701**((x1 + 1.3841441215897425)**x0),PySRFunction(X=>0.9413977162064701**((x1 + 1.3841441215897425)**x0))
5,9,7.716114992007809e-06,0.0740117145659814,-0.05832448645222461 + ((0.971848355954148 ^ x0) * (0.9896885431200149 ^ x4)),0.971848355954148**x0*0.9896885431200149**x4 - 0.05832448645222461,PySRFunction(X=>0.971848355954148**x0*0.9896885431200149**x4 - 0.05832448645222461)
