,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.1617087945206948e-05,0.0,0.9027227305341511,0.9027227305341511,PySRFunction(X=>0.9027227305341511)
1,2,1.1617087944220973e-05,8.487288650021365e-11,exp(-0.10233979313441675),0.90272276055275360,PySRFunction(X=>0.90272276055275360)
2,5,9.802917312039828e-06,0.056599028842480525,0.9051079950121329 ^ (1.1078415703130042 ^ x1),0.9051079950121329**(1.1078415703130042**x1),PySRFunction(X=>0.9051079950121329**(1.1078415703130042**x1))
3,6,9.668686207168133e-06,0.013787588798238444,0.911542519497269 ^ (1.0792835393884728 ^ exp(x1)),0.911542519497269**(1.0792835393884728**exp(x1)),PySRFunction(X=>0.911542519497269**(1.0792835393884728**exp(x1)))
4,7,8.523061779368179e-06,0.12611679741981568,0.905208064866159 ^ ((x0 - -1.1010870302804738) ^ x1),0.905208064866159**((x0 + 1.1010870302804738)**x1),PySRFunction(X=>0.905208064866159**((x0 + 1.1010870302804738)**x1))
5,9,8.307591389275353e-06,0.012802959029730845,(0.9056919932705376 ^ (1.2273692511103043 ^ x0)) ^ (1.1134728831003315 ^ x1),(0.9056919932705376**(1.2273692511103043**x0))**(1.1134728831003315**x1),PySRFunction(X=>(0.9056919932705376**(1.2273692511103043**x0))**(1.1134728831003315**x1))
6,10,8.132872786074649e-06,0.0212555046368177,((-0.017801880517224894 * x0) + 0.9120484115921711) ^ (1.0814841452672164 ^ exp(x1)),(0.9120484115921711 - 0.017801880517224894*x0)**(1.0814841452672164**exp(x1)),PySRFunction(X=>(0.9120484115921711 - 0.017801880517224894*x0)**(1.0814841452672164**exp(x1)))
