,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0001300750358886,0.0,0.9005151163078526,0.9005151163078526,PySRFunction(X=>0.9005151163078526)
1,4,8.907266937671652e-05,0.12621964555441512,0.9021401166875735 ^ exp(x0),0.9021401166875735**exp(x0),PySRFunction(X=>0.9021401166875735**exp(x0))
2,5,8.885387859954738e-05,0.002459339428934004,0.9023052078337772 - (0.11742799822823793 * x0),0.9023052078337772 - 0.11742799822823793*x0,PySRFunction(X=>0.9023052078337772 - 0.11742799822823793*x0)
3,7,8.878991796702126e-05,0.0003600499230830467,0.9023052078337772 - ((x0 * 0.12925189218005073) ^ 1.0356884859803845),0.9023052078337772 - 0.12015046011347212*x0**1.0356884859803845,PySRFunction(X=>0.9023052078337772 - 0.12015046011347212*x0**1.0356884859803845)
4,8,8.053122899972087e-05,0.0976280600641572,0.9072740307760155 ^ (exp(x0) * (1.264304334565778 ^ x1)),0.9072740307760155**(1.264304334565778**x1*exp(x0)),PySRFunction(X=>0.9072740307760155**(1.264304334565778**x1*exp(x0)))
5,10,8.006529637210185e-05,0.0029012703347632614,(0.9075219131647781 - (x1 * 0.02058792126360193)) ^ exp(x0 ^ 0.9075219131647781),(0.9075219131647781 - 0.02058792126360193*x1)**exp(x0**0.9075219131647781),PySRFunction(X=>(0.9075219131647781 - 0.02058792126360193*x1)**exp(x0**0.9075219131647781))
