,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.000113173955014,0.0,0.8909446918405594,0.8909446918405594,PySRFunction(X=>0.8909446918405594)
1,2,0.0001131739550118,1.9439228005258196e-11,log(2.437430905593463),0.8909445770649031,PySRFunction(X=>0.8909445770649031)
2,5,9.817544015890526e-05,0.04738999201012156,0.898257367088456 - (x1 * 0.02971892792018735),0.898257367088456 - 0.02971892792018735*x1,PySRFunction(X=>0.898257367088456 - 0.02971892792018735*x1)
3,6,9.732494756916176e-05,0.008700729088076302,0.9158714274324532 ^ (1.2354226109300628 ^ exp(x1)),0.9158714274324532**(1.2354226109300628**exp(x1)),PySRFunction(X=>0.9158714274324532**(1.2354226109300628**exp(x1)))
4,7,8.91692007742237e-05,0.08751965761530564,0.9000199385345213 - (0.03505143310559006 * (x1 + x0)),-0.03505143310559006*x0 - 0.03505143310559006*x1 + 0.9000199385345213,PySRFunction(X=>-0.03505143310559006*x0 - 0.03505143310559006*x1 + 0.9000199385345213)
5,9,8.669912748553277e-05,0.01404593851504852,(0.8993983043689411 - (0.029584797473412007 * x1)) - (x0 * 0.061097310303977206),-0.061097310303977206*x0 - 0.029584797473412007*x1 + 0.8993983043689411,PySRFunction(X=>-0.061097310303977206*x0 - 0.029584797473412007*x1 + 0.8993983043689411)
6,10,8.590526764897385e-05,0.009198669983711358,(0.9749982978553734 ^ exp(x1)) - (0.07607772486695533 ^ (0.7455958361216747 ^ x0)),-0.07607772486695533**(0.7455958361216747**x0) + 0.9749982978553734**exp(x1),PySRFunction(X=>-0.07607772486695533**(0.7455958361216747**x0) + 0.9749982978553734**exp(x1))
