,complexity,loss,score,equation,sympy_format,lambda_format
0,1,6.78615083811953e-05,0.0,0.9228003078605981,0.9228003078605981,PySRFunction(X=>0.9228003078605981)
1,2,6.786150833568124e-05,6.706903923376733e-10,exp(-0.08034252278412042),0.9228002121502845,PySRFunction(X=>0.9228002121502845)
2,3,6.78615083301603e-05,8.135592200251378e-11,0.8578569521349867 ^ 0.5240257718431475,0.9228001970116129,PySRFunction(X=>0.9228001970116129)
3,5,4.014332007906403e-05,0.26250646688299495,0.931867124248494 ^ (1.6428180789723863 ^ x1),0.931867124248494**(1.6428180789723863**x1),PySRFunction(X=>0.931867124248494**(1.6428180789723863**x1))
4,6,3.96352419036725e-05,0.01273738287583811,0.9706035059535961 ^ (exp(x1) + 1.387292511162081),0.9706035059535961**(exp(x1) + 1.387292511162081),PySRFunction(X=>0.9706035059535961**(exp(x1) + 1.387292511162081))
5,7,3.575884635912392e-05,0.10292098042074549,0.9660644111320263 ^ (exp(x0) + exp(x1)),0.9660644111320263**(exp(x0) + exp(x1)),PySRFunction(X=>0.9660644111320263**(exp(x0) + exp(x1)))
6,8,3.495364313821971e-05,0.022774987311002477,0.969044013094163 ^ ((x0 + 1.232913735248651) + exp(x1)),0.969044013094163**(x0 + exp(x1) + 1.232913735248651),PySRFunction(X=>0.969044013094163**(x0 + exp(x1) + 1.232913735248651))
7,9,3.437351284113581e-05,0.016736409575476355,0.9328596750651312 ^ ((x5 + 1.5232173316499176) ^ (x1 + x0)),0.9328596750651312**((x5 + 1.5232173316499176)**(x0 + x1)),PySRFunction(X=>0.9328596750651312**((x5 + 1.5232173316499176)**(x0 + x1)))
