,complexity,loss,score,equation,sympy_format,lambda_format
0,1,3.655273731925017e-06,0.0,0.9067101972177625,0.9067101972177625,PySRFunction(X=>0.9067101972177625)
1,3,3.655273731767568e-06,2.153716094401603e-11,0.9538177334871358 / 1.0519543025203262,0.90671023560807750,PySRFunction(X=>0.90671023560807750)
2,5,3.488521667500861e-06,0.023346463654770822,0.9068254986058436 ^ (1.0719758291532187 ^ x0),0.9068254986058436**(1.0719758291532187**x0),PySRFunction(X=>0.9068254986058436**(1.0719758291532187**x0))
3,7,3.4427635602838296e-06,0.006601773044400655,0.9058326509199747 * (1.006446445030849 ^ (x5 - x0)),0.9058326509199747*1.006446445030849**(-x0 + x5),PySRFunction(X=>0.9058326509199747*1.006446445030849**(-x0 + x5))
4,8,3.1783659754193587e-06,0.07990728889040963,0.9068476709641845 ^ (exp(x1) ^ (x1 - x2)),0.9068476709641845**(exp(x1)**(x1 - x2)),PySRFunction(X=>0.9068476709641845**(exp(x1)**(x1 - x2)))
