,complexity,loss,score,equation,sympy_format,lambda_format
0,1,4.591588933806379e-05,0.0,0.931208479218185,0.931208479218185,PySRFunction(X=>0.931208479218185)
1,2,4.591588908079429e-05,5.60306036472139e-09,exp(-0.07127316350642472),0.9312074854799254,PySRFunction(X=>0.9312074854799254)
2,4,4.494361359148547e-05,0.010701275866053,0.9324346679005858 ^ exp(x0),0.9324346679005858**exp(x0),PySRFunction(X=>0.9324346679005858**exp(x0))
3,5,3.985986771119918e-05,0.12003867682667568,0.9357792888142422 ^ (1.3236790492751327 ^ x1),0.9357792888142422**(1.3236790492751327**x1),PySRFunction(X=>0.9357792888142422**(1.3236790492751327**x1))
4,7,3.369767659979261e-05,0.08397055229396595,0.9375006795094041 ^ (x0 + (1.3818323664806138 ^ x1)),0.9375006795094041**(1.3818323664806138**x1 + x0),PySRFunction(X=>0.9375006795094041**(1.3818323664806138**x1 + x0))
5,9,3.3326854511162105e-05,0.005532688795838754,0.93673492511573 ^ ((1.341256484975246 ^ x1) + (x0 / 1.222345149726067)),0.93673492511573**(1.341256484975246**x1 + 0.8180995361450115*x0),PySRFunction(X=>0.93673492511573**(1.341256484975246**x1 + 0.8180995361450115*x0))
