,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0001169884643894,0.0,0.8261317822616524,0.8261317822616524,PySRFunction(X=>0.8261317822616524)
1,5,8.817227313505713e-05,0.07069569623312445,0.8361283738770784 + (x1 * -0.0420172098424287),0.8361283738770784 - 0.0420172098424287*x1,PySRFunction(X=>0.8361283738770784 - 0.0420172098424287*x1)
2,6,8.616380137389925e-05,0.02304239822870711,(-0.032691839842048626 * exp(x1)) + 0.868026384104275,0.868026384104275 - 0.032691839842048626*exp(x1),PySRFunction(X=>0.868026384104275 - 0.032691839842048626*exp(x1))
3,7,8.375093506950384e-05,0.028402816161506434,0.8318335064620173 - (0.07696888569752673 * (x1 * x1)),0.8318335064620173 - 0.07696888569752673*x1**2,PySRFunction(X=>0.8318335064620173 - 0.07696888569752673*x1**2)
4,9,8.332948349951164e-05,0.0025224527653664747,((x0 + x1) * (x1 * -0.07748933186372853)) + 0.832012405038025,-0.07748933186372853*x1*(x0 + x1) + 0.832012405038025,PySRFunction(X=>-0.07748933186372853*x1*(x0 + x1) + 0.832012405038025)
5,10,7.896942318285892e-05,0.05374170089486909,(-0.12063661017508055 * exp(x1)) + (0.9539308152942482 - (-0.1160458493364836 * x2)),0.1160458493364836*x2 - 0.12063661017508055*exp(x1) + 0.9539308152942482,PySRFunction(X=>0.1160458493364836*x2 - 0.12063661017508055*exp(x1) + 0.9539308152942482)
