,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0001541072283619,0.0,0.9056241279467948,0.9056241279467948,PySRFunction(X=>0.9056241279467948)
1,5,0.0001383064969913,0.027044108273122324,0.912601357493202 ^ (1.3724933979535308 ^ x1),0.912601357493202**(1.3724933979535308**x1),PySRFunction(X=>0.912601357493202**(1.3724933979535308**x1))
2,6,0.0001279558127763,0.07778722345451153,0.9103930875576124 ^ (exp(x1) - x2),0.9103930875576124**(-x2 + exp(x1)),PySRFunction(X=>0.9103930875576124**(-x2 + exp(x1)))
3,8,0.0001275646607769,0.0015308061209275965,0.9083563407727964 ^ (exp(x1) - (x2 ^ 0.9273681622335794)),0.9083563407727964**(-x2**0.9273681622335794 + exp(x1)),PySRFunction(X=>0.9083563407727964**(-x2**0.9273681622335794 + exp(x1)))
4,10,0.0001270993040725,0.001827338322651011,(0.9083563407727964 ^ (1.4258399028847817 ^ x0)) ^ exp(x1 ^ 3.3055297946917412),(0.9083563407727964**(1.4258399028847817**x0))**exp(x1**3.3055297946917412),PySRFunction(X=>(0.9083563407727964**(1.4258399028847817**x0))**exp(x1**3.3055297946917412))
