,complexity,loss,score,equation,sympy_format,lambda_format
0,2,0.0001132077634335,0.0,exp(-0.09169247948536167),0.9123856837228793,PySRFunction(X=>0.9123856837228793)
1,3,0.000113207762582,7.521568951539175e-09,0.9035166570506291 ^ 0.9037099395005908,0.9123869671043182,PySRFunction(X=>0.9123869671043182)
2,4,0.0001131079068045,0.0008824469313203403,0.9123924146529295 ^ exp(x3),0.9123924146529295**exp(x3),PySRFunction(X=>0.9123924146529295**exp(x3))
3,5,0.0001065894559551,0.05935769593408858,0.9448077047055892 ^ (x0 - -1.6007124131855324),0.9448077047055892**(x0 + 1.6007124131855324),PySRFunction(X=>0.9448077047055892**(x0 + 1.6007124131855324))
4,7,0.0001049317857551,0.007837057518195844,0.9128086386536357 - (x2 * (x1 - x2)),-x2*(x1 - x2) + 0.9128086386536357,PySRFunction(X=>-x2*(x1 - x2) + 0.9128086386536357)
5,8,0.0001039169386024,0.009718566810001437,exp(-0.09001833895040676) + ((x2 - x1) * x2),x2*(-x1 + x2) + 0.9139144248862307,PySRFunction(X=>x2*(-x1 + x2) + 0.9139144248862307)
6,9,0.000102223416448,0.016431137470021246,0.9128086386536357 - ((x0 + x2) * (x1 - x2)),-(x0 + x2)*(x1 - x2) + 0.9128086386536357,PySRFunction(X=>-(x0 + x2)*(x1 - x2) + 0.9128086386536357)
7,10,0.0001010699684868,0.011347740991365853,exp(-0.09040389647122969) - ((x0 + x2) * (x1 - x2)),-(x0 + x2)*(x1 - x2) + 0.9135621262263904,PySRFunction(X=>-(x0 + x2)*(x1 - x2) + 0.9135621262263904)
