,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0736015805703824,0.0,0.8992838542954916,0.8992838542954916,PySRFunction(X=>0.8992838542954916)
1,2,0.0736015795121114,1.4378373373154338e-08,exp(-0.1060617658882138),0.8993690960292827,PySRFunction(X=>0.8993690960292827)
2,3,0.073601578267114,1.691536258714573e-08,0.8992513026005681 ^ 0.999242040473162,0.8993236860755211,PySRFunction(X=>0.8993236860755211)
3,5,0.0728797861531074,0.004927575318529149,0.9057241849807034 - (x1 - x2),-x1 + x2 + 0.9057241849807034,PySRFunction(X=>-x1 + x2 + 0.9057241849807034)
4,7,0.0728360937357505,0.00029984665157739955,0.9050968069887421 - ((x1 - x2) * 1.3871143045820713),-1.3871143045820713*x1 + 1.3871143045820713*x2 + 0.9050968069887421,PySRFunction(X=>-1.3871143045820713*x1 + 1.3871143045820713*x2 + 0.9050968069887421)
5,8,0.0727737799835031,0.0008559001455028853,0.9057241849807034 - ((x1 - x2) * exp(x1)),-(x1 - x2)*exp(x1) + 0.9057241849807034,PySRFunction(X=>-(x1 - x2)*exp(x1) + 0.9057241849807034)
6,9,0.0727622127263434,0.00015896077621317212,exp(-0.094166764776374) - (exp(x1) * (x1 - x2)),-(x1 - x2)*exp(x1) + 0.910130971796486,PySRFunction(X=>-(x1 - x2)*exp(x1) + 0.910130971796486)
7,10,0.0727614191983338,1.0905830195504205e-05,(0.9050968069887421 ^ 0.9543799762707709) + ((x2 - x1) * exp(x1)),(-x1 + x2)*exp(x1) + 0.909223404421919,PySRFunction(X=>(-x1 + x2)*exp(x1) + 0.909223404421919)
