,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0001131739550103,0.0,0.8909445973113177,0.8909445973113177,PySRFunction(X=>0.8909445973113177)
1,5,9.797592280151376e-05,0.036051074274096345,0.8980285953398245 ^ (1.3322626980674699 ^ x1),0.8980285953398245**(1.3322626980674699**x1),PySRFunction(X=>0.8980285953398245**(1.3322626980674699**x1))
2,6,9.163306270003009e-05,0.06692960972461368,0.8960947540777083 ^ (exp(x1) - x2),0.8960947540777083**(-x2 + exp(x1)),PySRFunction(X=>0.8960947540777083**(-x2 + exp(x1)))
3,7,8.874094068428399e-05,0.032070806712909315,0.9000488294548155 ^ (1.41354662375686 ^ (x1 + x0)),0.9000488294548155**(1.41354662375686**(x0 + x1)),PySRFunction(X=>0.9000488294548155**(1.41354662375686**(x0 + x1)))
4,8,8.192194951804793e-05,0.07995438751276687,0.8975705669524486 ^ (exp(x1) - (x2 - x0)),0.8975705669524486**(x0 - x2 + exp(x1)),PySRFunction(X=>0.8975705669524486**(x0 - x2 + exp(x1)))
5,10,7.933378129997924e-05,0.01605146360497541,(0.8970935516135063 + (-0.06200073565715169 * x0)) ^ (exp(x1) - x2),(0.8970935516135063 - 0.06200073565715169*x0)**(-x2 + exp(x1)),PySRFunction(X=>(0.8970935516135063 - 0.06200073565715169*x0)**(-x2 + exp(x1)))
