,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0004113756581489,0.0,0.9194710385054287,0.9194710385054287,PySRFunction(X=>0.9194710385054287)
1,2,0.000411375642966,3.6907629190028566e-08,exp(-0.08395196653470598),0.9194754206251338,PySRFunction(X=>0.9194754206251338)
2,4,0.0003533858920546,0.07597306587839865,0.920919683086068 ^ exp(x0),0.920919683086068**exp(x0),PySRFunction(X=>0.920919683086068**exp(x0))
3,5,0.0003512838037055,0.005966184148760004,0.9210521526324146 ^ (3.226104349208353 ^ x0),0.9210521526324146**(3.226104349208353**x0),PySRFunction(X=>0.9210521526324146**(3.226104349208353**x0))
4,6,0.0003512502432124,9.55412574601561e-05,0.9211203756214095 ^ exp(x0 * 1.185162133176695),0.9211203756214095**exp(1.185162133176695*x0),PySRFunction(X=>0.9211203756214095**exp(1.185162133176695*x0))
5,7,0.0003506952501399,0.001581299953922628,0.9216408265437397 ^ ((3.419106967660956 - x5) ^ x0),0.9216408265437397**((3.419106967660956 - x5)**x0),PySRFunction(X=>0.9216408265437397**((3.419106967660956 - x5)**x0))
6,8,0.000341981387404,0.025161300327127822,0.9252104228387367 ^ (exp(x0) + (x1 * x1)),0.9252104228387367**(x1**2 + exp(x0)),PySRFunction(X=>0.9252104228387367**(x1**2 + exp(x0)))
