,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0001131739578636,0.0,0.8909463144373159,0.8909463144373159,PySRFunction(X=>0.8909463144373159)
1,3,0.0001131739558168,9.042716435261906e-09,0.8895580072472956 / 0.998442647486083,0.8909455234980784,PySRFunction(X=>0.8909455234980784)
2,4,0.0001131739553079,4.4966175328854215e-09,0.9537255239870789 ^ exp(0.8908553864695884),0.8909440787346422,PySRFunction(X=>0.8909440787346422)
3,5,9.798031260513784e-05,0.14415949580721613,0.8979213601152678 ^ (1.3294453284565564 ^ x1),0.8979213601152678**(1.3294453284565564**x1),PySRFunction(X=>0.8979213601152678**(1.3294453284565564**x1))
4,6,9.163303361790355e-05,0.0669747310193221,0.8960915507702429 ^ (exp(x1) - x2),0.8960915507702429**(-x2 + exp(x1)),PySRFunction(X=>0.8960915507702429**(-x2 + exp(x1)))
5,7,8.872716391917933e-05,0.03222574839223934,0.9005638785780145 ^ ((1.4043182742303146 ^ x1) + x0),0.9005638785780145**(1.4043182742303146**x1 + x0),PySRFunction(X=>0.9005638785780145**(1.4043182742303146**x1 + x0))
6,8,8.192195438788988e-05,0.07979906901258148,0.8975693917784597 ^ (exp(x1) - (x2 - x0)),0.8975693917784597**(x0 - x2 + exp(x1)),PySRFunction(X=>0.8975693917784597**(x0 - x2 + exp(x1)))
7,10,7.934411717141523e-05,0.015986355891459386,(0.8970215517951188 + (-0.06376804648234691 * x0)) ^ (exp(x1) - x2),(0.8970215517951188 - 0.06376804648234691*x0)**(-x2 + exp(x1)),PySRFunction(X=>(0.8970215517951188 - 0.06376804648234691*x0)**(-x2 + exp(x1)))
