,complexity,loss,score,equation,sympy_format,lambda_format
0,2,1.544889857896081e-05,0.0,exp(-0.11288807862724907),0.89325062835815619,PySRFunction(X=>0.89325062835815619)
1,5,1.1587495776468593e-05,0.09587038167109775,0.8937828214647027 ^ (1.4684168363065853 ^ x0),0.8937828214647027**(1.4684168363065853**x0),PySRFunction(X=>0.8937828214647027**(1.4684168363065853**x0))
2,7,1.148499773618508e-05,0.004442463685566061,0.8939110815262252 ^ ((1.7027474834271006 - x5) ^ x0),0.8939110815262252**((1.7027474834271006 - x5)**x0),PySRFunction(X=>0.8939110815262252**((1.7027474834271006 - x5)**x0))
3,9,1.0084947595540836e-05,0.06499883195767642,0.945047343368625 ^ ((x0 + 1.9324897905888532) - (-0.1989811735713363 * x1)),0.945047343368625**(x0 + 0.1989811735713363*x1 + 1.9324897905888532),PySRFunction(X=>0.945047343368625**(x0 + 0.1989811735713363*x1 + 1.9324897905888532))
4,10,9.986267821708023e-06,0.009833043677933829,(0.8961224977090859 ^ (1.096097985177069 ^ x1)) ^ exp(0.4166018311264908 * x0),(0.8961224977090859**(1.096097985177069**x1))**exp(0.4166018311264908*x0),PySRFunction(X=>(0.8961224977090859**(1.096097985177069**x1))**exp(0.4166018311264908*x0))
