,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.2947204174556083e-05,0.0,0.8886046949774027,0.8886046949774027,PySRFunction(X=>0.8886046949774027)
1,3,1.2947204173601216e-05,3.6875391630469594e-11,0.8161658087928527 ^ 0.5813927725132007,0.8886046831080125,PySRFunction(X=>0.8886046831080125)
2,5,3.929938410838057e-06,0.5961280583453992,0.8938124174237836 ^ (1.2218839499827976 ^ x1),0.8938124174237836**(1.2218839499827976**x1),PySRFunction(X=>0.8938124174237836**(1.2218839499827976**x1))
3,6,3.856598374234855e-06,0.018838209466609242,0.9065953792389793 ^ (1.1537921499611303 ^ exp(x1)),0.9065953792389793**(1.1537921499611303**exp(x1)),PySRFunction(X=>0.9065953792389793**(1.1537921499611303**exp(x1)))
4,8,3.4503155284319997e-06,0.055659930185737644,0.8942675402346159 ^ ((1.203896619860222 ^ x1) ^ exp(x5)),0.8942675402346159**((1.203896619860222**x1)**exp(x5)),PySRFunction(X=>0.8942675402346159**((1.203896619860222**x1)**exp(x5)))
