,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0001131739550413,0.0,0.8909448033664347,0.8909448033664347,PySRFunction(X=>0.8909448033664347)
1,2,0.0001131739550104,2.730310422567023e-10,exp(-0.11547303589985854),0.89094459543248649,PySRFunction(X=>0.89094459543248649)
2,5,9.798069262750814e-05,0.04805187154252722,0.8979088471487688 ^ (1.3278177794497592 ^ x1),0.8979088471487688**(1.3278177794497592**x1),PySRFunction(X=>0.8979088471487688**(1.3278177794497592**x1))
3,6,9.16330268849664e-05,0.06697868304744525,0.8960895627093874 ^ (exp(x1) - x2),0.8960895627093874**(-x2 + exp(x1)),PySRFunction(X=>0.8960895627093874**(-x2 + exp(x1)))
4,7,8.869176042338349e-05,0.032624769841335874,0.9004989255625196 ^ ((1.3903067906391455 ^ x1) + x0),0.9004989255625196**(1.3903067906391455**x1 + x0),PySRFunction(X=>0.9004989255625196**(1.3903067906391455**x1 + x0))
5,8,8.19219536870129e-05,0.07939998264172268,0.8975741124969923 ^ (exp(x1) - (x2 - x0)),0.8975741124969923**(x0 - x2 + exp(x1)),PySRFunction(X=>0.8975741124969923**(x0 - x2 + exp(x1)))
6,10,7.933879193696577e-05,0.016019910580377467,(0.8971275353300766 - (0.06250683870751425 * x0)) ^ (exp(x1) - x2),(0.8971275353300766 - 0.06250683870751425*x0)**(-x2 + exp(x1)),PySRFunction(X=>(0.8971275353300766 - 0.06250683870751425*x0)**(-x2 + exp(x1)))
