,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0009070376311843,0.0,0.8867388153448719,0.8867388153448719,PySRFunction(X=>0.8867388153448719)
1,3,0.0009070376309914,1.0633516290846034e-10,0.5804495107038855 + 0.3062892587764756,0.8867387694803611,PySRFunction(X=>0.8867387694803611)
2,4,0.0007974284089988,0.12879187742190318,0.91251107283433 ^ exp(x1),0.91251107283433**exp(x1),PySRFunction(X=>0.91251107283433**exp(x1))
3,5,0.0007856691177657,0.014856327316175318,0.9065060381888653 ^ (2.137645782343224 ^ x1),0.9065060381888653**(2.137645782343224**x1),PySRFunction(X=>0.9065060381888653**(2.137645782343224**x1))
4,6,0.0007201074965849,0.08713523235461464,0.8957644358016945 ^ (exp(x1) ^ x1),0.8957644358016945**(exp(x1)**x1),PySRFunction(X=>0.8957644358016945**(exp(x1)**x1))
5,7,0.0007129853108043,0.009939683433635934,0.897657495379927 ^ (3.149895919443673 ^ (x1 * x1)),0.897657495379927**(3.149895919443673**(x1**2)),PySRFunction(X=>0.897657495379927**(3.149895919443673**(x1**2)))
6,9,0.0006904674977388,0.01604595856015627,0.8930679583820271 ^ ((4.9545448250561375 ^ x1) ^ (x1 * x1)),0.8930679583820271**((4.9545448250561375**x1)**(x1**2)),PySRFunction(X=>0.8930679583820271**((4.9545448250561375**x1)**(x1**2)))
7,10,0.000684018004483,0.009384661504565753,(0.914283684516522 ^ exp(x1)) + ((x2 - x1) * x1),0.914283684516522**exp(x1) + x1*(-x1 + x2),PySRFunction(X=>0.914283684516522**exp(x1) + x1*(-x1 + x2))
