,complexity,loss,score,equation,sympy_format,lambda_format
0,1,5.008121147684818e-05,0.0,0.9303742959164087,0.9303742959164087,PySRFunction(X=>0.9303742959164087)
1,4,4.445144334286087e-05,0.03974949491422351,0.9318808454516796 ^ exp(x0),0.9318808454516796**exp(x0),PySRFunction(X=>0.9318808454516796**exp(x0))
2,5,3.941586065204518e-05,0.12022914266726115,0.931257466770008 ^ (1.9043168022706303 ^ x0),0.931257466770008**(1.9043168022706303**x0),PySRFunction(X=>0.931257466770008**(1.9043168022706303**x0))
3,7,3.323177110435855e-05,0.08533095530954797,0.9625693973075385 ^ ((x0 + x4) + 1.8573815635395068),0.9625693973075385**(x0 + x4 + 1.8573815635395068),PySRFunction(X=>0.9625693973075385**(x0 + x4 + 1.8573815635395068))
4,8,3.1849956936589444e-05,0.04247034935400194,0.9320232634470682 ^ (exp(x4) - (x4 - x0)),0.9320232634470682**(x0 - x4 + exp(x4)),PySRFunction(X=>0.9320232634470682**(x0 - x4 + exp(x4)))
5,9,3.140859602173684e-05,0.01395441584466868,0.9533568419213375 ^ ((1.479376476749652 + x0) + (x4 * x4)),0.9533568419213375**(x0 + x4**2 + 1.479376476749652),PySRFunction(X=>0.9533568419213375**(x0 + x4**2 + 1.479376476749652))
6,10,3.108123545302502e-05,0.010477338652946701,((x0 * -0.05194544034104583) + 0.9317599455095511) ^ (exp(x4) - x4),(0.9317599455095511 - 0.05194544034104583*x0)**(-x4 + exp(x4)),PySRFunction(X=>(0.9317599455095511 - 0.05194544034104583*x0)**(-x4 + exp(x4)))
