,complexity,loss,score,equation,sympy_format,lambda_format
0,1,6.373457064824193e-05,0.0,0.8581999959424143,0.8581999959424143,PySRFunction(X=>0.8581999959424143)
1,2,6.373457064432065e-05,6.15251183352425e-11,exp(-0.15291803954756755),0.85820005739396791,PySRFunction(X=>0.85820005739396791)
2,5,3.953104161870561e-05,0.15921363286451282,0.8667632403109153 ^ (1.3035513203193378 ^ x1),0.8667632403109153**(1.3035513203193378**x1),PySRFunction(X=>0.8667632403109153**(1.3035513203193378**x1))
3,6,3.917677964888668e-05,0.009002011653928417,(0.9736312262125845 ^ exp(x1)) + -0.1076499082119327,0.9736312262125845**exp(x1) - 0.1076499082119327,PySRFunction(X=>0.9736312262125845**exp(x1) - 0.1076499082119327)
4,7,3.51821622856966e-05,0.10754501447462689,0.8665727390229383 * (0.9647546730749089 ^ (x1 + x4)),0.8665727390229383*0.9647546730749089**(x1 + x4),PySRFunction(X=>0.8665727390229383*0.9647546730749089**(x1 + x4))
5,9,3.268893585416574e-05,0.03675126667435162,0.8672990851876546 ^ ((x4 + 1.2801014193740339) ^ (x1 + x0)),0.8672990851876546**((x4 + 1.2801014193740339)**(x0 + x1)),PySRFunction(X=>0.8672990851876546**((x4 + 1.2801014193740339)**(x0 + x1)))
