,complexity,loss,score,equation,sympy_format,lambda_format
0,1,1.3709227729876942e-05,0.0,0.891998145962134,0.891998145962134,PySRFunction(X=>0.891998145962134)
1,2,1.3709227679225872e-05,3.6946697991565326e-09,exp(-0.11429192891523081),0.89199751800176510,PySRFunction(X=>0.89199751800176510)
2,3,1.37092276060541e-05,5.337410305761105e-09,1.2346760103349426 * 0.7224549805542588,0.89199783303734080,PySRFunction(X=>0.89199783303734080)
3,5,3.2606603915451453e-06,0.7180697025164038,0.8978550704348301 ^ (1.2580472563289653 ^ x1),0.8978550704348301**(1.2580472563289653**x1),PySRFunction(X=>0.8978550704348301**(1.2580472563289653**x1))
4,6,3.2014091584013737e-06,0.01833867408163814,(0.9808426001424925 ^ exp(x1)) * 0.9147748420129954,0.9147748420129954*0.9808426001424925**exp(x1),PySRFunction(X=>0.9147748420129954*0.9808426001424925**exp(x1))
5,8,2.8747089913355173e-06,0.05381981307703726,0.8983660568535968 ^ ((1.2363260923743467 ^ x1) ^ exp(x5)),0.8983660568535968**((1.2363260923743467**x1)**exp(x5)),PySRFunction(X=>0.8983660568535968**((1.2363260923743467**x1)**exp(x5)))
6,9,2.8708375387372678e-06,0.0013476361783532264,0.8982877696486973 ^ ((1.261491892655013 ^ x1) ^ (0.899077777339513 + x5)),0.8982877696486973**((1.261491892655013**x1)**(x5 + 0.899077777339513)),PySRFunction(X=>0.8982877696486973**((1.261491892655013**x1)**(x5 + 0.899077777339513)))
7,10,2.750563099363972e-06,0.04279815842039624,(0.918081712553895 - (0.0083501844339131 * x5)) * (0.979336755573398 ^ exp(x1)),0.979336755573398**exp(x1)*(0.918081712553895 - 0.0083501844339131*x5),PySRFunction(X=>0.979336755573398**exp(x1)*(0.918081712553895 - 0.0083501844339131*x5))
